model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_2to1_logistic,B_original,macro_f1,0.5,0.01,0.12,0.1936,0.1721,0.1721,0.1979,0.0798,0.8823,0.1185,0.366,0.15184382999999999
A_2to1_logistic,B_original,cost_sensitive,0.5,0.01,0.1,0.1749,0.1682,0.0974,0.1639,0.1133,0.8823,0.1185,0.366,0.14840286
A_2to1_logistic,B_2to1,macro_f1,0.0,0.05,0.17,0.6858,0.4473,0.4473,0.7832,0.4127,0.1538,0.1185,0.3649,0.06879474
A_2to1_logistic,B_2to1,cost_sensitive,0.0,0.05,0.16,0.6662,0.4445,0.2437,0.7435,0.4622,0.1538,0.1185,0.3649,0.0683641
A_2to1_logistic,B_2to1,macro_f1,0.25,0.02,0.17,0.6546,0.4289,0.4289,0.7515,0.3592,0.2926,0.1185,0.3649,0.12549614
A_2to1_logistic,B_2to1,cost_sensitive,0.25,0.02,0.16,0.6369,0.4271,0.226,0.7154,0.4049,0.2926,0.1185,0.3649,0.12496946
A_2to1_logistic,B_2to1,macro_f1,0.3,0.01,0.13,0.1939,0.1719,0.1719,0.1986,0.0788,0.8823,0.1185,0.3649,0.15166737
A_2to1_logistic,B_2to1,cost_sensitive,0.3,0.01,0.1,0.1769,0.1689,0.0974,0.1674,0.1102,0.8823,0.1185,0.3649,0.14902047
A_2to1_logistic,B_2to1,macro_f1,0.35,0.01,0.13,0.1939,0.1719,0.1719,0.1986,0.0788,0.8823,0.1185,0.3649,0.15166737
A_2to1_logistic,B_2to1,cost_sensitive,0.35,0.01,0.1,0.1769,0.1689,0.0974,0.1674,0.1102,0.8823,0.1185,0.3649,0.14902047
A_2to1_logistic,B_2to1,macro_f1,0.4,0.01,0.13,0.1939,0.1719,0.1719,0.1986,0.0788,0.8823,0.1185,0.3649,0.15166737
A_2to1_logistic,B_2to1,cost_sensitive,0.4,0.01,0.1,0.1769,0.1689,0.0974,0.1674,0.1102,0.8823,0.1185,0.3649,0.14902047
A_2to1_logistic,B_2to1,macro_f1,0.5,0.01,0.13,0.1939,0.1719,0.1719,0.1986,0.0788,0.8823,0.1185,0.3649,0.15166737
A_2to1_logistic,B_2to1,cost_sensitive,0.5,0.01,0.1,0.1769,0.1689,0.0974,0.1674,0.1102,0.8823,0.1185,0.3649,0.14902047
A_2to1_logistic,B_1to1,macro_f1,0.0,0.05,0.17,0.7009,0.4468,0.4468,0.8168,0.3638,0.1538,0.1185,0.3629,0.06871783999999999
A_2to1_logistic,B_1to1,cost_sensitive,0.0,0.05,0.16,0.6753,0.4458,0.2436,0.7623,0.4382,0.1538,0.1185,0.3629,0.06856403999999999
A_2to1_logistic,B_1to1,macro_f1,0.25,0.02,0.16,0.6455,0.428,0.428,0.7331,0.3821,0.2926,0.1185,0.3629,0.1252328
A_2to1_logistic,B_1to1,cost_sensitive,0.25,0.02,0.16,0.6455,0.428,0.2257,0.7331,0.3821,0.2926,0.1185,0.3629,0.1252328
